癌症診斷年,性別,縣市別,癌症別,年齡標準化發生率  WHO 2000世界標準人口 (每10萬人口) ,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
1979,男,新北市,口腔、口咽及下咽,5.19,43,52.3,53,3.89
1979,男,桃園市,口腔、口咽及下咽,3.67,15,55.8,55,2.8
1979,男,新竹縣,口腔、口咽及下咽,2.89,4,64.5,64.5,2.1
1979,男,宜蘭縣,口腔、口咽及下咽,4.73,9,52.44,52,3.88
1979,男,苗栗縣,口腔、口咽及下咽,1.04,2,48.5,48.5,0.71
1979,男,彰化縣,口腔、口咽及下咽,11.95,52,51.9,52.5,8.74
1979,男,南投縣,口腔、口咽及下咽,4.61,10,52.7,52,3.66
1979,男,雲林縣,口腔、口咽及下咽,3.57,11,51.09,50,2.65
1979,男,嘉義縣,口腔、口咽及下咽,5.03,12,52.17,53,3.99
1979,男,屏東縣,口腔、口咽及下咽,6.31,20,59.35,58,4.29
1979,男,澎湖縣,口腔、口咽及下咽,4.18,2,56.5,56.5,3.52
1979,男,花蓮縣,口腔、口咽及下咽,3.57,6,44,46,3.1
1979,男,台東縣,口腔、口咽及下咽,9.97,16,55.27,57,10.37
1979,女,台閩地區,口腔、口咽及下咽,1.32,75,53.84,56,0.89
1979,女,台北市,口腔、口咽及下咽,3.36,23,53.26,56,2.18
1979,女,台中市,口腔、口咽及下咽,0.51,3,45,43,0.4
1979,女,台南市,口腔、口咽及下咽,0.35,2,50,50,0.27
1979,女,高雄市,口腔、口咽及下咽,1.34,9,48.67,50,0.88
1979,女,基隆市,口腔、口咽及下咽,1.02,1,63,63,0.61
1979,女,新竹市,口腔、口咽及下咽,1.97,2,53.5,53.5,1.52
1979,女,嘉義市,口腔、口咽及下咽,1.33,1,64,64,0.82
1979,女,新北市,口腔、口咽及下咽,0.71,4,58.75,59,0.39
1979,女,桃園市,口腔、口咽及下咽,2.32,6,55.83,57,1.26
1979,女,宜蘭縣,口腔、口咽及下咽,0.71,1,58,58,0.48
1979,女,苗栗縣,口腔、口咽及下咽,0.52,1,70,70,0.39
1979,女,彰化縣,口腔、口咽及下咽,0.78,3,58.33,59,0.54
1979,女,雲林縣,口腔、口咽及下咽,1.23,4,45,55,1.04
1979,女,屏東縣,口腔、口咽及下咽,1.71,5,63.6,65,1.2
1979,女,花蓮縣,口腔、口咽及下咽,2.82,3,55.67,55,1.88
1979,女,台東縣,口腔、口咽及下咽,1.3,1,65,65,0.79
1980,不分男女,台閩地區,口腔、口咽及下咽,3.9,509,53.81,54,2.85
1980,不分男女,台北市,口腔、口咽及下咽,3.97,67,54.21,55,3.02
1980,不分男女,台中市,口腔、口咽及下咽,4.3,43,56.65,60,2.68
1980,不分男女,台南市,口腔、口咽及下咽,2.53,29,54.62,58,1.88
1980,不分男女,高雄市,口腔、口咽及下咽,3.49,55,50.04,51,2.5
1980,不分男女,基隆市,口腔、口咽及下咽,2.86,8,52.63,54,2.32
1980,不分男女,新竹市,口腔、口咽及下咽,4.96,10,58,53,3.55
1980,不分男女,嘉義市,口腔、口咽及下咽,10.17,19,54.05,50,7.54
1980,不分男女,新北市,口腔、口咽及下咽,3.12,48,51.38,52.5,2.13
1980,不分男女,桃園市,口腔、口咽及下咽,3.68,30,51.47,53,2.85
1980,不分男女,新竹縣,口腔、口咽及下咽,2.47,7,50.43,55,1.94
1980,不分男女,宜蘭縣,口腔、口咽及下咽,1.08,4,50.75,51,0.9
1980,不分男女,苗栗縣,口腔、口咽及下咽,2.71,11,53.09,55,2.03
1980,不分男女,彰化縣,口腔、口咽及下咽,6.52,56,53.36,52,4.8
1980,不分男女,南投縣,口腔、口咽及下咽,2.24,9,54.89,55,1.72
1980,不分男女,雲林縣,口腔、口咽及下咽,5.47,33,56.55,56,4.14
1980,不分男女,嘉義縣,口腔、口咽及下咽,3.5,16,55.75,62.5,2.79
1980,不分男女,屏東縣,口腔、口咽及下咽,1.31,8,48.63,50,0.9
1980,不分男女,花蓮縣,口腔、口咽及下咽,4.23,11,59.91,60,3.1
1980,不分男女,台東縣,口腔、口咽及下咽,7.36,18,57.39,56.5,6.4
1980,不分男女,連江縣,口腔、口咽及下咽,14.37,1,32,32,11.04
1980,男,台閩地區,口腔、口咽及下咽,5.98,424,53.44,54,4.55
1980,男,台北市,口腔、口咽及下咽,5.8,53,54.68,54,4.61
1980,男,台中市,口腔、口咽及下咽,6.92,38,55.32,59.5,4.57
1980,男,台南市,口腔、口咽及下咽,3.8,22,53.32,53,2.73
1980,男,高雄市,口腔、口咽及下咽,5.12,45,49.96,51,3.92
1980,男,基隆市,口腔、口咽及下咽,4.98,8,52.63,54,4.41
1980,男,新竹市,口腔、口咽及下咽,8.82,10,58,53,6.79
1980,男,嘉義市,口腔、口咽及下咽,18.53,18,53.17,50,13.82
1980,男,新北市,口腔、口咽及下咽,4.28,36,51.47,51.5,3.08
1980,男,桃園市,口腔、口咽及下咽,5.84,28,50.64,52,5.03
1980,男,新竹縣,口腔、口咽及下咽,3.43,5,59.4,59,2.62
1980,男,宜蘭縣,口腔、口咽及下咽,1.35,3,52,51,1.29
1980,男,苗栗縣,口腔、口咽及下咽,4.68,10,52.8,53,3.53
1980,男,彰化縣,口腔、口咽及下咽,11.2,49,52.69,52,8.14
1980,男,南投縣,口腔、口咽及下咽,3.7,8,54,53,2.92
1980,男,雲林縣,口腔、口咽及下咽,9.17,28,55.54,56,6.77
1980,男,嘉義縣,口腔、口咽及下咽,5.54,13,53.23,55,4.33
1980,男,屏東縣,口腔、口咽及下咽,2.03,5,51.2,51,1.07
1980,男,花蓮縣,口腔、口咽及下咽,5.54,9,56.78,54,4.64
1980,男,台東縣,口腔、口咽及下咽,8.01,13,58.23,56,8.41
1980,男,連江縣,口腔、口咽及下咽,25.68,1,32,32,19.07
1980,女,台閩地區,口腔、口咽及下咽,1.47,85,55.64,58,0.99
1980,女,台北市,口腔、口咽及下咽,1.87,14,52.43,56,1.31
1980,女,台中市,口腔、口咽及下咽,1.35,5,66.8,64,0.64
1980,女,台南市,口腔、口咽及下咽,1.29,7,58.71,58,0.94
1980,女,高雄市,口腔、口咽及下咽,1.43,10,50.4,52.5,0.95
1980,女,嘉義市,口腔、口咽及下咽,1.3,1,70,70,0.82
1980,女,新北市,口腔、口咽及下咽,1.74,12,51.08,54,1.1
1980,女,桃園市,口腔、口咽及下咽,0.8,2,63,63,0.4
1980,女,新竹縣,口腔、口咽及下咽,1.23,2,28,28,1.18
1980,女,宜蘭縣,口腔、口咽及下咽,0.61,1,47,47,0.48
1980,女,苗栗縣,口腔、口咽及下咽,0.51,1,56,56,0.39
1980,女,彰化縣,口腔、口咽及下咽,1.67,7,58,62,1.24
1980,女,南投縣,口腔、口咽及下咽,0.56,1,62,62,0.4
1980,女,雲林縣,口腔、口咽及下咽,1.74,5,62.2,63,1.31
1980,女,嘉義縣,口腔、口咽及下咽,1.35,3,66.67,65,1.1
1980,女,屏東縣,口腔、口咽及下咽,0.79,3,44.33,49,0.71
1980,女,花蓮縣,口腔、口咽及下咽,2.16,2,74,74,1.24
1980,女,台東縣,口腔、口咽及下咽,5.56,5,55.2,68,3.95
1981,不分男女,台閩地區,口腔、口咽及下咽,3.53,469,54.5,54,2.58
1981,不分男女,台北市,口腔、口咽及下咽,3.22,55,55.73,58,2.42
1981,不分男女,台中市,口腔、口咽及下咽,3.6,42,52.57,50.5,2.54
1981,不分男女,台南市,口腔、口咽及下咽,2.28,26,57.54,55,1.66
1981,不分男女,高雄市,口腔、口咽及下咽,3.71,57,51.26,52,2.54
1981,不分男女,基隆市,口腔、口咽及下咽,2.15,6,57.67,60,1.72
1981,不分男女,新竹市,口腔、口咽及下咽,1.33,3,54,53,1.05
1981,不分男女,嘉義市,口腔、口咽及下咽,4.23,9,51.44,52,3.57
1981,不分男女,新北市,口腔、口咽及下咽,2.76,41,54.56,55,1.74
1981,不分男女,桃園市,口腔、口咽及下咽,3.14,23,56.3,54,2.1
1981,不分男女,新竹縣,口腔、口咽及下咽,0.67,2,55.5,55.5,0.55
1981,不分男女,宜蘭縣,口腔、口咽及下咽,1.15,4,58.25,56,0.9
1981,不分男女,苗栗縣,口腔、口咽及下咽,1.5,6,60.17,61,1.1
1981,不分男女,彰化縣,口腔、口咽及下咽,5.22,46,55.22,52,3.9
1981,不分男女,南投縣,口腔、口咽及下咽,2.78,12,54.42,56,2.27
1981,不分男女,雲林縣,口腔、口咽及下咽,4.62,29,54.79,55,3.64
1981,不分男女,嘉義縣,口腔、口咽及下咽,4.98,24,55.13,53.5,4.18
1981,不分男女,屏東縣,口腔、口咽及下咽,2.61,17,54.82,56,1.91
1981,不分男女,澎湖縣,口腔、口咽及下咽,2.16,2,46,46,1.89
1981,不分男女,花蓮縣,口腔、口咽及下咽,4.42,14,51.5,52,3.92
1981,不分男女,台東縣,口腔、口咽及下咽,2.03,5,54.4,53,1.78
1981,不分男女,連江縣,口腔、口咽及下咽,22.99,1,45,45,12.2
1981,男,台閩地區,口腔、口咽及下咽,5.28,380,53.91,53,4.01
1981,男,台北市,口腔、口咽及下咽,3.34,30,55.03,56,2.56
1981,男,台中市,口腔、口咽及下咽,5.97,37,52.73,51,4.34
1981,男,台南市,口腔、口咽及下咽,3.79,21,58.38,56,2.58
1981,男,高雄市,口腔、口咽及下咽,6.24,53,51.09,52,4.54
1981,男,基隆市,口腔、口咽及下咽,2.9,5,60.4,62,2.73
1981,男,新竹市,口腔、口咽及下咽,2.39,3,54,53,2.02
1981,男,嘉義市,口腔、口咽及下咽,7.07,8,51.38,51.5,6.15
1981,男,新北市,口腔、口咽及下咽,3.89,32,54.09,53.5,2.63
1981,男,桃園市,口腔、口咽及下咽,5.03,21,55.48,52,3.64
1981,男,新竹縣,口腔、口咽及下咽,0.54,1,50,50,0.52
1981,男,宜蘭縣,口腔、口咽及下咽,2.08,4,58.25,56,1.71
1981,男,苗栗縣,口腔、口咽及下咽,2.56,5,60.8,65,1.75
1981,男,彰化縣,口腔、口咽及下咽,7.94,36,52.89,49.5,5.91
1981,男,南投縣,口腔、口咽及下咽,4.27,10,54.9,56,3.63
1981,男,雲林縣,口腔、口咽及下咽,7,22,54.86,55,5.31
1981,男,嘉義縣,口腔、口咽及下咽,8.75,22,54.59,53,7.33
1981,男,屏東縣,口腔、口咽及下咽,4.05,14,51.86,50,2.98
1981,男,澎湖縣,口腔、口咽及下咽,2.15,1,64,64,1.81
1981,男,花蓮縣,口腔、口咽及下咽,6.03,11,52.64,52,5.63
1981,男,台東縣,口腔、口咽及下咽,2.67,4,54.75,53.5,2.59
1981,男,連江縣,口腔、口咽及下咽,44.78,1,45,45,21.3
1981,女,台閩地區,口腔、口咽及下咽,1.49,89,57.02,60,1.02
1981,女,台北市,口腔、口咽及下咽,3.46,25,56.56,60,2.27
1981,女,台中市,口腔、口咽及下咽,0.92,5,51.4,50,0.63
1981,女,台南市,口腔、口咽及下咽,0.84,5,54,53,0.67
1981,女,高雄市,口腔、口咽及下咽,0.63,4,53.5,57.5,0.37
1981,女,基隆市,口腔、口咽及下咽,0.74,1,44,44,0.61
1981,女,嘉義市,口腔、口咽及下咽,1.02,1,52,52,0.82
1981,女,新北市,口腔、口咽及下咽,1.35,9,56.22,68,0.79
1981,女,桃園市,口腔、口咽及下咽,0.79,2,65,65,0.39
1981,女,新竹縣,口腔、口咽及下咽,0.87,1,61,61,0.58
1981,女,苗栗縣,口腔、口咽及下咽,0.5,1,57,57,0.38
1981,女,彰化縣,口腔、口咽及下咽,2.33,10,63.6,67,1.75
1981,女,南投縣,口腔、口咽及下咽,1.03,2,52,52,0.79
1981,女,雲林縣,口腔、口咽及下咽,2.24,7,54.57,56,1.83
1981,女,嘉義縣,口腔、口咽及下咽,0.89,2,61,61,0.73
1981,女,屏東縣,口腔、口咽及下咽,1,3,68.67,68,0.71
1981,女,澎湖縣,口腔、口咽及下咽,2.24,1,28,28,1.99
1981,女,花蓮縣,口腔、口咽及下咽,2.31,3,47.33,56,1.85
1981,女,台東縣,口腔、口咽及下咽,1.03,1,53,53,0.79
1982,不分男女,台閩地區,口腔、口咽及下咽,3.31,445,55.47,56,2.4
1982,不分男女,台北市,口腔、口咽及下咽,1.3,21,61.38,60,0.9
1982,不分男女,台中市,口腔、口咽及下咽,3.03,37,51.32,52,2.19
1982,不分男女,台南市,口腔、口咽及下咽,2.36,29,54.76,58,1.83
1982,不分男女,高雄市,口腔、口咽及下咽,1.8,30,48.03,50,1.31
1982,不分男女,基隆市,口腔、口咽及下咽,0.47,1,72,72,0.29
1982,不分男女,新竹市,口腔、口咽及下咽,0.42,1,52,52,0.35
1982,不分男女,新北市,口腔、口咽及下咽,3.37,52,54.58,58,2.13
1982,不分男女,桃園市,口腔、口咽及下咽,1.06,8,59.88,63,0.71
1982,不分男女,新竹縣,口腔、口咽及下咽,3.03,9,52.33,53,2.47
1982,不分男女,宜蘭縣,口腔、口咽及下咽,4.7,16,57.81,59,3.58
1982,不分男女,苗栗縣,口腔、口咽及下咽,2.01,8,67.75,66,1.46
1982,不分男女,彰化縣,口腔、口咽及下咽,5.76,52,52.81,51.5,4.36
1982,不分男女,南投縣,口腔、口咽及下咽,4.1,17,59,58,3.21
1982,不分男女,雲林縣,口腔、口咽及下咽,4.38,28,54.61,53,3.51
1982,不分男女,嘉義縣,口腔、口咽及下咽,4.33,20,58.75,61,3.48
1982,不分男女,屏東縣,口腔、口咽及下咽,2.15,14,57.93,62,1.56
1982,不分男女,花蓮縣,口腔、口咽及下咽,3.83,12,54.25,55,3.33
1982,不分男女,台東縣,口腔、口咽及下咽,3.66,8,63.63,61.5,2.84
1982,不分男女,金門縣,口腔、口咽及下咽,2.88,1,69,69,1.99
1982,男,台閩地區,口腔、口咽及下咽,5.01,361,55.5,56,3.75
1982,男,台北市,口腔、口咽及下咽,2.27,20,61.45,60,1.67
1982,男,台中市,口腔、口咽及下咽,5.03,32,54.38,53,3.67
1982,男,台南市,口腔、口咽及下咽,3.22,20,55.15,58,2.42
1982,男,高雄市,口腔、口咽及下咽,3.16,28,48.04,50,2.36
1982,男,基隆市,口腔、口咽及下咽,0.85,1,72,72,0.54
1982,男,新竹市,口腔、口咽及下咽,0.75,1,52,52,0.66
1982,男,新北市,口腔、口咽及下咽,4.42,37,55.62,58,2.93
1982,男,桃園市,口腔、口咽及下咽,1.23,6,62.17,63,1.01
1982,男,新竹縣,口腔、口咽及下咽,4.12,7,54.43,58,3.63
1982,男,宜蘭縣,口腔、口咽及下咽,8,14,57.57,59,5.99
1982,男,苗栗縣,口腔、口咽及下咽,2.09,4,67.5,65,1.4
1982,男,彰化縣,口腔、口咽及下咽,9.71,45,51.56,50,7.3
1982,男,南投縣,口腔、口咽及下咽,6.88,15,57.67,58,5.41
1982,男,雲林縣,口腔、口咽及下咽,8.14,26,55.04,53.5,6.27
1982,男,嘉義縣,口腔、口咽及下咽,6.83,16,58,59.5,5.32
1982,男,屏東縣,口腔、口咽及下咽,3.13,10,54.7,57,2.12
1982,男,花蓮縣,口腔、口咽及下咽,4.89,10,54.2,55,5.1
1982,男,台東縣,口腔、口咽及下咽,4.34,5,63.4,57,3.23
1982,女,台閩地區,口腔、口咽及下咽,1.36,84,55.31,58.5,0.95
1982,女,台北市,口腔、口咽及下咽,0.13,1,60,60,0.09
1982,女,台中市,口腔、口咽及下咽,0.68,5,31.8,40,0.61
1982,女,台南市,口腔、口咽及下咽,1.49,9,53.89,60,1.18
1982,女,高雄市,口腔、口咽及下咽,0.27,2,48,48,0.18
1982,女,新北市,口腔、口咽及下咽,2.12,15,52,52,1.27
1982,女,桃園市,口腔、口咽及下咽,0.66,2,53,53,0.37
1982,女,新竹縣,口腔、口咽及下咽,1.53,2,45,45,1.16
1982,女,宜蘭縣,口腔、口咽及下咽,1.31,2,59.5,59.5,0.94
1982,女,苗栗縣,口腔、口咽及下咽,2.01,4,68,66,1.53
1982,女,彰化縣,口腔、口咽及下咽,1.58,7,60.86,55,1.21
1982,女,南投縣,口腔、口咽及下咽,1.01,2,69,69,0.79
1982,女,雲林縣,口腔、口咽及下咽,0.6,2,49,49,0.52
1982,女,嘉義縣,口腔、口咽及下咽,1.66,4,61.75,65,1.46
1982,女,屏東縣,口腔、口咽及下咽,1.27,4,66,66.5,0.94
1982,女,花蓮縣,口腔、口咽及下咽,1.73,2,54.5,54.5,1.22
1982,女,台東縣,口腔、口咽及下咽,3.48,3,64,68,2.38
1982,女,金門縣,口腔、口咽及下咽,4.99,1,69,69,4.1
1983,不分男女,台閩地區,口腔、口咽及下咽,4,552,55.78,57,2.94
1983,不分男女,台北市,口腔、口咽及下咽,3.7,67,53.96,53,2.81
1983,不分男女,台中市,口腔、口咽及下咽,4.49,54,55.07,55,3.12
1983,不分男女,台南市,口腔、口咽及下咽,2.69,35,54.26,57,2.18
1983,不分男女,高雄市,口腔、口咽及下咽,2.29,40,50.85,50.5,1.72
1983,不分男女,基隆市,口腔、口咽及下咽,4.16,11,56.18,57,3.13
1983,不分男女,新竹市,口腔、口咽及下咽,1.88,4,58,59.5,1.37
1983,不分男女,嘉義市,口腔、口咽及下咽,7.15,14,54.57,58.5,5.54
1983,不分男女,新北市,口腔、口咽及下咽,4.16,67,55.27,57,2.66
1983,不分男女,桃園市,口腔、口咽及下咽,3.51,24,59.46,58.5,2.07
1983,不分男女,新竹縣,口腔、口咽及下咽,1.51,4,63,68,1.09
1983,不分男女,宜蘭縣,口腔、口咽及下咽,1.05,4,53,54,0.89
1983,不分男女,苗栗縣,口腔、口咽及下咽,2,9,57.44,62,1.64
1983,不分男女,彰化縣,口腔、口咽及下咽,5.81,54,55.52,56.5,4.49
1983,不分男女,南投縣,口腔、口咽及下咽,4.73,19,58.89,58,3.57
1983,不分男女,雲林縣,口腔、口咽及下咽,6.05,38,59.76,58.5,4.77
1983,不分男女,嘉義縣,口腔、口咽及下咽,2.38,12,44.42,47,2.09
1983,不分男女,屏東縣,口腔、口咽及下咽,3.11,22,58.86,58,2.44
1983,不分男女,花蓮縣,口腔、口咽及下咽,5.3,16,61.25,62.5,4.43
1983,不分男女,台東縣,口腔、口咽及下咽,5.59,13,61.69,68,4.65
1983,男,台閩地區,口腔、口咽及下咽,6.11,453,55.97,57,4.64
1983,男,台北市,口腔、口咽及下咽,5.21,51,54.47,53,4.16
1983,男,台中市,口腔、口咽及下咽,7.57,49,55.02,55,5.5
1983,男,台南市,口腔、口咽及下咽,3.85,26,54.58,56,3.11
1983,男,高雄市,口腔、口咽及下咽,3.73,35,50.26,50,2.91
1983,男,基隆市,口腔、口咽及下咽,6.19,9,57.89,57,4.88
1983,男,新竹市,口腔、口咽及下咽,2.5,3,54,54,1.97
1983,男,嘉義市,口腔、口咽及下咽,12.45,13,53.69,58,9.98
1983,男,新北市,口腔、口咽及下咽,6.03,53,57.09,58,4.09
1983,男,桃園市,口腔、口咽及下咽,5.48,21,58.1,56,3.44
1983,男,新竹縣,口腔、口咽及下咽,1.46,2,69,69,1.03
1983,男,宜蘭縣,口腔、口咽及下咽,1.42,3,52,52,1.28
1983,男,苗栗縣,口腔、口咽及下咽,3.78,9,57.44,62,3.14
1983,男,彰化縣,口腔、口咽及下咽,10.37,49,55.69,57,7.89
1983,男,南投縣,口腔、口咽及下咽,7.68,16,57.94,57.5,5.75
1983,男,雲林縣,口腔、口咽及下咽,10.88,33,59.67,59,7.96
1983,男,嘉義縣,口腔、口咽及下咽,3.4,9,42,46,2.99
1983,男,屏東縣,口腔、口咽及下咽,4.26,16,57.81,56,3.37
1983,男,花蓮縣,口腔、口咽及下咽,6.65,12,59.33,58,6.1
1983,男,台東縣,口腔、口咽及下咽,7.45,11,62.64,68,7.13
1983,女,台閩地區,口腔、口咽及下咽,1.55,99,54.93,57,1.1
1983,女,台北市,口腔、口咽及下咽,1.87,16,52.31,54,1.38
1983,女,台中市,口腔、口咽及下咽,0.91,5,55.6,58,0.6
1983,女,台南市,口腔、口咽及下咽,1.43,9,53.33,62,1.17
1983,女,高雄市,口腔、口咽及下咽,0.69,5,55,56,0.45
1983,女,基隆市,口腔、口咽及下咽,1.75,2,48.5,48.5,1.19
1983,女,新竹市,口腔、口咽及下咽,1.22,1,70,70,0.71
1983,女,嘉義市,口腔、口咽及下咽,1.25,1,66,66,0.82
1983,女,新北市,口腔、口咽及下咽,1.77,14,48.36,50,1.15
1983,女,桃園市,口腔、口咽及下咽,1.15,3,69,70,0.55
1983,女,新竹縣,口腔、口咽及下咽,1.59,2,57,57,1.16
1983,女,宜蘭縣,口腔、口咽及下咽,0.64,1,56,56,0.47
1983,女,彰化縣,口腔、口咽及下咽,1.11,5,53.8,53,0.86
1983,女,南投縣,口腔、口咽及下咽,1.53,3,64,68,1.18
1983,女,雲林縣,口腔、口咽及下咽,1.48,5,60.4,57,1.31
1983,女,嘉義縣,口腔、口咽及下咽,1.28,3,51.67,51,1.1
1983,女,屏東縣,口腔、口咽及下咽,1.85,6,61.67,65,1.41
1983,女,花蓮縣,口腔、口咽及下咽,3.77,4,67,68.5,2.44
1983,女,台東縣,口腔、口咽及下咽,2.35,2,56.5,56.5,1.59
1984,不分男女,台閩地區,口腔、口咽及下咽,4.27,620,53.92,54.5,3.25
1984,不分男女,台北市,口腔、口咽及下咽,4.05,79,52.73,54,3.22
1984,不分男女,台中市,口腔、口咽及下咽,5.89,71,54.41,55,4
1984,不分男女,台南市,口腔、口咽及下咽,1.96,27,53.96,58,1.66
1984,不分男女,高雄市,口腔、口咽及下咽,3.67,65,50.02,51,2.76
1984,不分男女,基隆市,口腔、口咽及下咽,2.58,7,53,51,1.98
1984,不分男女,新竹市,口腔、口咽及下咽,6.04,14,53,53.5,4.71
1984,不分男女,嘉義市,口腔、口咽及下咽,6.5,13,53.77,53,5.14
1984,不分男女,新北市,口腔、口咽及下咽,3.79,65,55.15,55,2.51
1984,不分男女,桃園市,口腔、口咽及下咽,3.36,29,55.17,58,2.44
1984,不分男女,新竹縣,口腔、口咽及下咽,1.3,4,55.25,55,1.09
1984,不分男女,宜蘭縣,口腔、口咽及下咽,1.12,4,65.75,64,0.89
1984,不分男女,苗栗縣,口腔、口咽及下咽,2.66,12,59.5,58.5,2.18
1984,不分男女,彰化縣,口腔、口咽及下咽,6.03,55,52.85,53,4.52
1984,不分男女,南投縣,口腔、口咽及下咽,4.93,21,55.81,56,3.93
1984,不分男女,雲林縣,口腔、口咽及下咽,6.04,40,55.48,56.5,5.03
1984,不分男女,嘉義縣,口腔、口咽及下咽,4.66,24,55.33,55,4.19
1984,不分男女,屏東縣,口腔、口咽及下咽,2.43,17,53.06,54,1.88
1984,不分男女,花蓮縣,口腔、口咽及下咽,5.64,17,57.47,58,4.7
1984,不分男女,台東縣,口腔、口咽及下咽,6.53,14,47.79,49.5,5.05
1984,男,台閩地區,口腔、口咽及下咽,7.02,541,54.1,54,5.46
1984,男,台北市,口腔、口咽及下咽,6.59,67,52.9,54,5.34
1984,男,台中市,口腔、口咽及下咽,10.08,62,54.23,54.5,6.79
1984,男,台南市,口腔、口咽及下咽,2.93,22,52.09,56.5,2.6
1984,男,高雄市,口腔、口咽及下咽,6.24,58,50.93,51,4.76
1984,男,基隆市,口腔、口咽及下咽,3.92,6,55.5,56,3.25
1984,男,新竹市,口腔、口咽及下咽,10.73,13,55.46,54,8.4
1984,男,嘉義市,口腔、口咽及下咽,10.71,11,54.09,53,8.46
1984,男,新北市,口腔、口咽及下咽,5.89,55,55.38,54,4.13
1984,男,桃園市,口腔、口咽及下咽,4.82,24,57.54,59,3.84
1984,男,新竹縣,口腔、口咽及下咽,2.44,4,55.25,55,2.07
1984,男,宜蘭縣,口腔、口咽及下咽,1.49,3,65.67,62,1.28
1984,男,苗栗縣,口腔、口咽及下咽,4.56,10,62.3,58.5,3.48
1984,男,彰化縣,口腔、口咽及下咽,10.83,51,53.08,53,8.13
1984,男,南投縣,口腔、口咽及下咽,9.39,21,55.81,56,7.52
1984,男,雲林縣,口腔、口咽及下咽,11.51,38,55.53,56.5,9.18
1984,男,嘉義縣,口腔、口咽及下咽,8.05,21,54.62,55,6.99
1984,男,屏東縣,口腔、口咽及下咽,4.36,16,53.13,54.5,3.37
1984,男,花蓮縣,口腔、口咽及下咽,8.79,16,56.31,57,8.13
1984,男,台東縣,口腔、口咽及下咽,10.51,12,46.08,48.5,7.84
1984,女,台閩地區,口腔、口咽及下咽,1.15,79,52.7,55,0.86
1984,女,台北市,口腔、口咽及下咽,1.28,12,51.83,52.5,1
1984,女,台中市,口腔、口咽及下咽,1.58,9,55.67,59,1.04
1984,女,台南市,口腔、口咽及下咽,0.84,5,62.2,63,0.64
1984,女,高雄市,口腔、口咽及下咽,0.74,7,42.43,44,0.62
1984,女,基隆市,口腔、口咽及下咽,0.82,1,38,38,0.59
1984,女,新竹市,口腔、口咽及下咽,0.55,1,21,21,0.7
1984,女,嘉義市,口腔、口咽及下咽,2.07,2,52,52,1.63
1984,女,新北市,口腔、口咽及下咽,1.26,10,53.9,57,0.8
1984,女,桃園市,口腔、口咽及下咽,1.23,5,43.8,38,0.89
1984,女,宜蘭縣,口腔、口咽及下咽,0.66,1,66,66,0.46
1984,女,苗栗縣,口腔、口咽及下咽,0.79,2,45.5,45.5,0.76
